Date,Open,High,Low,Close,Volume,Adjustment Factor,Adjustment Type
2010-06-10,28.18919,28.512173,28.081529,28.431427,897800.0,,
2010-06-09,27.614999,28.305823,27.588084,27.758547,1275300.0,,
2010-06-08,27.588084,27.749575,27.193328,27.471451,1441300.0,,
2010-06-07,27.606027,28.054614,27.372762,27.606027,1395400.0,,
2010-06-04,28.171247,28.440399,27.507338,27.606027,1424400.0,,
2010-06-03,28.494229,29.149166,28.494229,28.781325,1227300.0,,
2010-06-02,27.66883,28.494229,27.570141,28.467314,955800.0,,
2010-06-01,27.740603,28.198162,27.570141,27.641914,1195200.0,,
2010-05-31,28.063586,28.063586,28.063586,28.063586,0.0,,
2010-05-28,28.377597,28.431427,27.740603,28.063586,1470000.0,,
2010-05-27,27.767519,28.34171,27.686773,28.323766,1440100.0,,
2010-05-26,27.336875,27.794434,27.211271,27.30996,1641000.0,,
2010-05-25,26.978006,27.175384,26.466617,27.157441,1819100.0,,
2010-05-24,27.46248,27.875179,27.292017,27.543225,1134100.0,,
2010-05-21,27.184356,27.794434,26.960063,27.659858,1741600.0,,
2010-05-20,27.740603,28.036671,27.444536,27.525282,1603300.0,0.997454,17.0
2010-05-19,27.875796,28.260599,27.750512,28.117416,1046000.0,,
2010-05-18,28.448525,28.591708,27.813154,28.001081,1368100.0,,
2010-05-17,28.189007,28.376934,27.696818,28.099519,873300.0,,
2010-05-14,28.215854,28.242701,27.795256,28.018979,1019900.0,,
2010-05-13,28.457474,28.591708,28.260599,28.278496,1082100.0,,
2010-05-12,27.992132,28.49327,27.750512,28.448525,913900.0,,
2010-05-11,27.571534,28.189007,27.455198,27.938438,1106700.0,,
2010-05-10,27.714716,28.027927,27.589432,27.795256,945800.0,,
2010-05-07,27.347812,27.347812,26.300791,26.766134,1465900.0,,
2010-05-06,27.741563,28.117416,25.90704,27.517841,1653600.0,,
2010-05-05,27.714716,27.920541,27.464147,27.76841,956400.0,,
2010-05-04,27.741563,27.902643,27.490994,27.714716,848900.0,,
2010-05-03,27.804205,28.063723,27.661023,27.992132,637900.0,,
2010-04-30,28.162161,28.278496,27.60733,27.60733,1136900.0,,
2010-04-29,27.714716,28.314292,27.678921,28.063723,916300.0,,
2010-04-28,27.652074,27.875796,27.464147,27.553636,906300.0,,
2010-04-27,27.723665,28.09057,27.544687,27.616278,1017700.0,,
2010-04-26,27.741563,28.126365,27.652074,27.947387,1229300.0,,
